wavelength,buffer,0nm,10nm,20nm,30nm,40nm,50nm,60nm,70nm,80nm,90nm,100nm,110nm
580,1.09422183,6.757679462,10.3067112,14.9795332,21.40918732,27.93050003,35.53850174,44.63924408,53.24465942,58.95941162,63.58304977,72.77101135,77.26372528
581.0200195,1.024670601,6.706036091,10.18406487,14.60608292,21.5940361,27.59873581,35.56779099,44.34817123,53.050354,58.43976974,62.51783752,72.1220932,76.82642365
582.0499878,0.939685345,6.767900944,10.01789188,14.05559063,21.1300087,27.67357635,35.52320099,44.5235405,52.37857056,57.80656815,62.1686821,71.65879822,76.42831421
582.9400024,0.907646358,6.59139967,9.79109478,14.31272984,20.71672249,27.35428429,35.00262833,44.24589157,51.68239975,56.8863945,61.15741348,71.31817627,75.44165802
583.9699707,0.772647917,6.228853703,9.2579813,14.13656712,20.21147919,26.80692673,34.34615707,43.53239059,50.65232086,55.57906723,60.01096344,70.41312408,74.37794495
585,0.655464053,5.824064255,8.84198761,13.50815964,19.86556053,25.9409008,33.45064926,42.38267517,49.60276413,54.44516373,58.76242828,68.98498535,73.05991364
586.0200195,0.542705595,5.557173729,8.617545128,12.60338593,19.37288475,25.14351082,32.65448761,41.97688675,48.21775436,53.58491516,57.91869736,67.03486633,71.35134888
587.0499878,0.435070276,5.258264542,8.282021523,12.27476597,18.96601677,24.43255043,32.04037857,40.69414902,47.17821503,52.63337708,56.45013046,65.10099792,69.77891541
587.9400024,0.280806422,5.088790417,8.002260208,12.26901627,18.29489708,23.59085083,31.15859985,39.4317131,46.63217163,51.05476379,54.69034576,63.78985596,68.00489807
588.9699707,0.161077157,5.111278534,7.420488358,11.81246567,17.48705673,22.90039444,30.27828026,37.73074341,45.64422607,49.84637451,53.22006226,62.53149033,66.27613068
590,0.153663099,4.942903519,7.075695515,11.03715229,16.79930496,22.12042618,29.41675568,36.07904434,43.75701523,48.33046341,51.35018921,60.46536255,64.03938293
591.0200195,0.028650733,4.554095268,6.839653015,10.21421814,16.12493896,21.44383812,27.90496635,34.71395874,41.71305466,46.3571701,50.37023544,57.79229355,61.26761627
592.0499878,-0.136872873,4.088911533,6.529120445,9.906015396,15.54136848,20.54115295,26.32103348,33.66227341,40.43776321,44.22510529,48.30756378,55.24659348,59.20420074
592.9400024,-0.225504354,3.747548342,6.310153961,9.812990189,14.76036835,19.7490406,25.15097618,32.64078903,39.28282547,42.76373291,46.85546494,53.71637344,57.10529327
593.9699707,-0.229291856,3.505151272,5.944076061,9.249254227,14.05550194,18.95584679,24.27461815,31.03669548,37.29783249,41.0919075,44.90842819,51.72105408,54.76555252
595,-0.27998212,3.142422199,5.640627384,8.527318954,13.08629608,18.19427681,23.16462708,30.12933731,35.2585144,39.36230087,43.02384186,49.47741318,52.13771439
596.0200195,-0.465151697,2.972213268,5.206056118,8.025226593,12.66637039,17.18651199,22.07633591,29.17282104,33.69847488,37.24463272,40.64923477,46.82936478,50.45796204
597.0499878,-0.522941411,2.686577559,4.80971241,7.722921848,12.2670393,16.16602135,21.18139458,28.02860451,32.60905075,36.08267593,39.14986801,44.63995743,48.83056641
597.9400024,-0.705595136,2.638286114,4.344919205,7.032512188,11.42036438,15.39731693,20.18182755,26.50509453,31.0355587,34.77912521,37.90857697,42.73913574,47.06829834
598.9699707,-0.785005271,2.420937061,4.065409184,6.686441422,10.65839195,14.76859951,19.52414131,25.5111084,29.89329147,33.08343887,36.13047791,41.1428566,44.84104538
600,-0.774545252,2.222690344,4.011253834,6.603878498,10.15537262,13.9242506,18.56476974,24.56153679,28.8022995,31.38009071,34.56370544,39.98980713,42.84028625
601.0200195,-0.671014488,2.020940304,3.798568726,6.334665298,9.781284332,13.27405262,17.98135948,23.02610016,27.4298439,30.21927643,32.91504288,38.13467026,40.79001999
602.0499878,-0.903722465,1.795472264,3.432081699,5.808049202,9.146603584,12.61645603,17.32072639,21.70898056,25.91240692,29.04211235,31.37228966,36.21586227,39.42815018
602.9400024,-1.052012205,1.559186816,3.177770853,5.606755733,8.886087418,12.29154778,16.41169357,20.58031845,24.96865845,27.5685463,30.08622742,34.73797607,37.53292084
603.9699707,-1.107387662,1.327520013,2.858834982,5.333709717,8.382870674,11.76730347,15.45252228,20.14395905,23.900877,26.53475761,29.03535652,33.41484451,35.76666641
605,-1.142558813,1.125724792,2.583802938,4.954633236,7.984631062,11.06979275,14.70510483,18.99321175,22.55371857,25.28039742,27.61127472,31.85982132,33.73438263
606.0200195,-1.269561052,0.969110131,2.18835783,4.392268181,7.458812237,10.27673435,13.85560513,18.06685066,21.05187607,23.82893372,25.99154282,29.91402054,32.75231934
607.0499878,-1.298745036,0.943948925,2.152490377,4.238066673,7.111657143,9.704236984,12.69697857,17.19976807,20.0447731,22.4912529,24.8206768,28.85912514,31.4305172
607.9400024,-1.266998053,0.9526245,2.024478674,3.939094305,6.806877613,9.438693047,12.23710918,16.78708267,19.22570419,21.50151443,23.90541458,27.33648491,30.04906845
608.9699707,-1.332359314,0.823856771,1.916228771,3.836196661,6.461907387,9.041895866,12.14084625,16.14390755,18.66651726,20.71577072,22.64802933,26.03543663,28.33007622
610,-1.440654635,0.74864167,1.762796283,3.567852974,5.977511406,8.487573624,11.52842808,15.41736031,18.10796928,19.86364746,21.80497169,24.7113018,26.92277145
611.0100098,-1.524320126,0.693398595,1.642691851,3.319074154,5.680532932,7.813580513,10.79387474,14.44834042,17.48080444,18.8395195,20.94573212,23.94581795,25.66438103
612.0200195,-1.508741021,0.459893703,1.468431115,2.86850667,5.586500645,7.532904148,10.21771526,13.59000015,16.67604828,17.93876076,19.92077827,22.93148804,24.80925751
613.039978,-1.552293181,0.387313724,1.226727247,2.751688957,5.271530151,7.181382656,9.653765678,12.81236362,15.72178268,17.06004333,18.83203125,22.04673767,24.09788513
614.0499878,-1.643790364,0.239360124,1.217799544,2.829451799,4.787880898,6.79300642,9.118253708,12.37755775,14.86218834,16.41910744,18.06375122,21.62542534,23.18599701
615.0700073,-1.629812121,0.086404346,1.116624355,2.835427523,4.459066391,6.538212299,8.930150986,11.88051128,14.45769787,15.83533096,17.35543823,20.81798172,22.38473511
615.9400024,-1.61656642,-0.124716587,1.081214428,2.504716635,4.30939579,6.542336464,8.733677864,11.70759392,13.95152283,15.42525482,16.44341278,19.90029335,21.3203125
616.9500122,-1.696917653,-0.14321284,1.036040306,2.159005404,4.307960987,6.37017107,8.586484909,11.10789299,13.37861061,14.85564899,16.23225403,18.94758987,20.62626648
617.9699707,-1.750493288,-0.137121469,0.953954697,1.985740662,4.015571594,5.906376362,8.101855278,10.59336948,12.77282429,14.39525127,15.88740444,18.52234268,19.92021942
618.9799805,-1.787966728,-0.025849063,0.785514176,1.946869254,3.735616684,5.371117592,7.682167053,10.09591389,12.08034039,13.83123302,15.40102673,17.99504471,19.48493958
620,-1.815594792,-0.00685378,0.495568514,1.823661327,3.443991661,5.246256351,7.261574745,9.75832653,11.61944485,13.45957375,14.58366013,17.35725021,18.43385506
621.0100098,-1.829692721,-0.147652432,0.385925323,1.585634351,3.270195246,5.315319538,7.044135571,9.349368095,11.41593742,12.87943268,14.45835972,16.41366386,17.89108467
622.0200195,-1.752617717,-0.395654261,0.42599383,1.503512979,3.067133188,5.081587791,6.692874908,9.084317207,11.19403362,12.1890564,13.95631123,15.88663292,17.17176437
623.039978,-1.779959559,-0.46483779,0.480696261,1.561959505,3.100137949,4.775063992,6.373196125,8.830735207,10.76041317,11.61185741,13.50751305,15.50276947,16.83067322
624.0499878,-1.811344981,-0.556646049,0.386692524,1.495898128,3.079063892,4.570147514,6.151686668,8.636041641,10.46312428,11.64371109,13.05230236,14.9843092,16.22321892
625.0700073,-1.931965947,-0.569051147,0.225143477,1.341235757,2.900282145,4.302530289,6.048037052,8.556874275,10.4416256,11.5730238,12.85137463,14.58016586,16.19447708
625.9400024,-1.944326043,-0.576814413,0.183101237,1.164105892,2.795676231,3.953841686,5.981778145,8.329675674,9.868434906,11.24551678,12.26879311,14.36928558,15.6982317
626.9500122,-1.923400044,-0.620443225,-0.004087715,1.031665206,2.655327082,3.997932911,5.728638649,7.957647324,9.32495594,10.73980713,11.74510956,13.94346809,15.34982777
627.9699707,-1.903999209,-0.684452474,-0.037110768,0.78170222,2.397018909,3.969976425,5.489718437,7.712116241,8.909387589,10.20685291,11.2999897,13.19114017,14.4609766
628.9799805,-2.011446238,-0.754551411,-0.121244103,0.702255785,2.230250835,3.903053045,5.215173244,7.648863792,8.832988739,9.867458344,10.87733936,12.67539215,13.80204105
630,-2.017842531,-0.723092198,-0.085554771,0.607296348,2.208109617,3.593114376,5.002536774,7.338885307,8.599352837,9.592385292,10.59694481,12.23722458,13.4957428
631.0100098,-2.001226187,-0.817260206,-0.164428562,0.660806596,2.174757481,3.377688169,4.916449547,6.970027447,8.351599693,9.303354263,10.47415161,12.25084591,13.37767124
632.0200195,-2.054041147,-0.83095485,-0.136822551,0.637190461,1.996377349,3.036435366,5.044117451,6.566577911,8.086153984,8.980325699,10.04967785,12.07206631,12.74473572
633.039978,-2.13383317,-0.883707881,-0.246023029,0.58971864,1.679319143,3.071099758,4.779339314,6.364211082,7.757620811,8.606546402,9.411923409,11.91756153,12.11026955
634.0499878,-2.062708855,-0.824261129,-0.375789493,0.432275832,1.49377501,2.878009319,4.369783878,6.240120888,7.577653408,8.291678429,9.041395187,11.12202072,11.99886322
635.0700073,-2.055418015,-0.960615516,-0.481037557,0.302656353,1.525847554,2.782697678,3.961181879,6.107272625,7.262433529,8.045736313,9.037628174,10.7137537,11.74867725
635.9400024,-2.072803259,-1.076181054,-0.503014028,0.243735939,1.569151521,2.482533932,3.726631165,5.859656811,6.867288589,7.859275818,8.864919662,10.25759602,11.2421484
636.9500122,-2.027159214,-1.196418524,-0.539563358,0.195903972,1.389667749,2.465783119,3.504185915,5.521763802,6.50263834,7.566176414,8.563340187,9.871868134,10.94920921
637.9699707,-2.004156828,-1.247662425,-0.707684398,0.099278875,1.258021951,2.323010206,3.301068306,5.310916901,6.380935192,7.418887138,8.518481255,9.347299576,10.72593403
638.9799805,-2.083174706,-1.300384641,-0.871688902,-0.096905455,1.079875588,2.129709959,3.151566267,5.129663467,6.12300539,7.134649754,8.191262245,9.075344086,10.27563477
640,-2.275770903,-1.283867598,-0.950245976,-0.13809748,1.012565613,1.846633673,3.007147312,4.718976974,5.786525249,6.74093008,7.745689869,8.925125122,9.697496414
641.0100098,-2.245692492,-1.296383739,-0.894452929,-0.104379185,0.944310725,1.719317198,2.919600725,4.416749477,5.499371529,6.435419559,7.251550198,8.617486954,9.269294739
642.0200195,-2.182063341,-1.292122602,-0.931103826,-0.104231156,0.799865782,1.612593412,2.792162418,4.150236607,5.245408058,6.17357254,7.156381607,8.222958565,8.950030327
643.039978,-2.093667269,-1.40140152,-1.084800124,-0.230387017,0.670884967,1.460380793,2.657620668,3.916996241,4.984164715,5.914485455,6.823359489,7.677248001,8.555120468
644.0499878,-2.232335091,-1.53183496,-1.12737298,-0.397787184,0.587314844,1.328450322,2.382807493,3.622925758,4.724226952,5.607462406,6.322767258,7.326385975,8.04358387
645.0700073,-2.306173086,-1.623423934,-1.160558105,-0.568970382,0.389250755,1.217470527,2.270078182,3.393699884,4.535306454,5.337605476,5.770317554,6.861563683,7.538447857
645.9400024,-2.328984261,-1.577299595,-1.202119112,-0.662253022,0.324077427,1.10089457,2.084150314,3.259557486,4.441020489,4.960185528,5.316324234,6.526362419,7.184798717
646.9500122,-2.316856384,-1.61679399,-1.210163355,-0.700763047,0.2046123,1.003584981,1.986200452,3.044110298,4.187204838,4.694670677,5.292314529,6.273230076,6.677057743
647.9699707,-2.356873751,-1.633831859,-1.216276526,-0.614388049,0.042314477,0.903631866,1.731414557,2.954617262,3.775560141,4.312610626,5.250940323,5.889689922,6.373374939
648.9799805,-2.385750532,-1.639650464,-1.354459405,-0.65806371,-0.179705173,0.72547704,1.74433136,2.61770153,3.521147728,4.064639568,5.051968098,5.597408772,6.37691927
650,-2.354013443,-1.711965799,-1.444689393,-0.764171064,-0.074145369,0.589651704,1.638165712,2.410935402,3.294475079,3.835746288,4.481619358,5.583024979,6.178807735
651.0100098,-2.342495441,-1.862692714,-1.476349473,-0.990474403,-0.176450759,0.431383789,1.535528541,2.271657228,3.165240049,3.63481307,4.228614807,5.532448769,5.828010559
652.0200195,-2.331914186,-1.840837955,-1.491979837,-1.073220372,-0.359765112,0.294806898,1.209209442,2.114786625,2.824654818,3.38734293,3.834507942,5.104915142,5.400134563
653.039978,-2.36042738,-1.807935476,-1.521496892,-1.124048591,-0.432039559,0.206014052,0.898603916,1.982527137,2.79744339,3.153040409,3.525346279,4.705039501,5.174799919
654.0499878,-2.343198299,-1.796972156,-1.531657457,-1.154904485,-0.426685303,0.158440188,0.788500726,1.916454196,2.518264532,2.974321842,3.395688534,4.394235611,4.709929466
655.0700073,-2.341313124,-1.902578235,-1.605106235,-1.211993337,-0.461281598,0.126898363,0.618026674,1.619850397,2.248682022,2.752620935,3.471768379,3.945799112,4.562445164
655.9400024,-2.325126171,-1.935831308,-1.646843314,-1.263199329,-0.600270808,0.151019484,0.493045211,1.28575778,1.881623983,2.551459312,3.151702166,3.499568701,4.18691206
656.9500122,-2.364272356,-1.963683844,-1.686454415,-1.248829961,-0.645963848,0.162485048,0.339530408,1.160342813,1.794630051,2.216740847,2.648159266,3.202234983,3.935857296
657.9699707,-2.3504951,-1.947216392,-1.686816096,-1.32103467,-0.831888616,0.066680893,0.317150563,1.101604223,1.699398398,2.051083565,2.369748116,3.011665344,3.655070543
